GO Terms Level 1	GO Terms Level 2	Number of proteins	Related proteins
Biological Process	cellular metabolic process	5	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	response to chemical	5	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	nitrogen compound metabolic process	5	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	organic substance metabolic process	5	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	multicellular organism development	5	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	anatomical structure development	5	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	primary metabolic process	5	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	cellular response to stimulus	4	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	establishment of localization	4	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2
Biological Process	regulation of biological process	4	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	cellular developmental process	4	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	cell activation	4	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2
Biological Process	vesicle-mediated transport	4	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2
Biological Process	signal transduction	4	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	cell communication	4	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZV19
Biological Process	immune effector process	3	A0A8V0Y0J2 A0A8V0YUU0 A0A8V0Z5X2
Biological Process	leukocyte activation	3	A0A8V0Y0J2 A0A8V0YUU0 A0A8V0Z5X2
Biological Process	anatomical structure morphogenesis	3	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0ZV19
Biological Process	response to external stimulus	3	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0ZV19
Biological Process	immune response	3	A0A8V0Y0J2 A0A8V0YUU0 A0A8V0Z5X2
Biological Process	regulation of biological quality	3	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2
Biological Process	regulation of molecular function	3	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2
Biological Process	response to stress	3	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0ZV19
Biological Process	cellular component organization or biogenesis	3	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0ZV19
Biological Process	other	4	A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV19 A0A8V0YDD6
Cellular Component	extracellular region	5	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2 A0A8V0ZV19
Cellular Component	endomembrane system	5	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2 A0A8V0ZV19
Cellular Component	extracellular space	5	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2 A0A8V0ZV19
Cellular Component	intracellular anatomical structure	5	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2 A0A8V0ZV19
Cellular Component	cytoplasm	5	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2 A0A8V0ZV19
Cellular Component	organelle	5	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2 A0A8V0ZV19
Cellular Component	membrane-enclosed lumen	4	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0YUU0 A0A8V0Z5X2
Cellular Component	membrane	3	A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZV19
Cellular Component	cell periphery	3	A0A8V0YDD6 A0A8V0Z5X2 A0A8V0ZV19
Cellular Component	cell surface	2	A0A8V0Y0J2 A0A8V0ZV19
Cellular Component	site of polarized growth	1	A0A8V0Y0J2
Cellular Component	fibrinogen complex	1	A0A8V0YDD6
Cellular Component	protein-lipid complex	1	A0A8V0Y0J2
Cellular Component	somatodendritic compartment	1	A0A8V0Y0J2
Cellular Component	cell projection	1	A0A8V0Y0J2
Cellular Component	fusome	1	A0A8V0Z5X2
Cellular Component	apical part of cell	1	A0A8V0YDD6
Cellular Component	perinuclear region of cytoplasm	1	A0A8V0Y0J2
Cellular Component	distal axon	1	A0A8V0Y0J2
Molecular Function	protein binding	3	A0A8V0Y0J2 A0A8V0YDD6 A0A8V0Z5X2
Molecular Function	hydrolase activity	3	A0A8V0YUU0 A0A8V0Z5X2 A0A8V0ZV19
Molecular Function	ion binding	3	A0A1D5PT25 A0A8V0YDD6 A0A8V0Z5X2
Molecular Function	carbohydrate derivative binding	3	A0A1D5PT25 A0A8V0YDD6 A0A8V0Z5X2
Molecular Function	lipid binding	2	A0A1D5PT25 A0A8V0Z5X2
Molecular Function	enzyme regulator activity	2	A0A8V0YDD6 A0A8V0Z5X2
Molecular Function	amide binding	2	A0A8V0Y0J2 A0A8V0Z5X2
Molecular Function	protein-containing complex binding	2	A0A8V0Y0J2 A0A8V0YDD6
Molecular Function	extracellular matrix structural constituent	1	A0A8V0YDD6
Molecular Function	transferase activity	1	A0A8V0ZV19
Molecular Function	small molecule binding	1	A0A8V0Z5X2
Molecular Function	sulfur compound binding	1	A0A8V0YDD6
