GO Terms Level 1,GO Terms Description,GO Terms Level,GO Terms ID,Mapping,Background,All Mapping,All Background,Fold Enrichment,Fisher's exact test p value,-log10(p value),Related proteins
Cellular Component,lysosomal lumen,6,GO:0043202,3,3,13,43,3.31,0.02317478324284909,1.63,A0A8V0Z5X2 A0A8V0Z3S9 A0A8V0YUU0
Cellular Component,lytic vacuole,6,GO:0000323,4,5,13,43,2.65,0.02362045215136526,1.63,A0A8V0Z5X2 A0A8V0Z3S9 P01012 A0A8V0YUU0
Cellular Component,vacuole,5,GO:0005773,4,5,13,43,2.65,0.02362045215136526,1.63,A0A8V0Z5X2 A0A8V0Z3S9 P01012 A0A8V0YUU0
Cellular Component,lysosome,7,GO:0005764,4,5,13,43,2.65,0.02362045215136526,1.63,A0A8V0Z5X2 A0A8V0Z3S9 P01012 A0A8V0YUU0
Cellular Component,cytoplasmic vesicle,6,GO:0031410,8,15,13,43,1.76,0.03387509763851118,1.47,A0A8V0ZA93 P01012 A0A8V0YUU0 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV62 A0A8V0YDD6 R4GFJ0
Cellular Component,vesicle,4,GO:0031982,8,15,13,43,1.76,0.03387509763851118,1.47,A0A8V0ZA93 P01012 A0A8V0YUU0 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV62 A0A8V0YDD6 R4GFJ0
Cellular Component,intracellular vesicle,5,GO:0097708,8,15,13,43,1.76,0.03387509763851118,1.47,A0A8V0ZA93 P01012 A0A8V0YUU0 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0ZV62 A0A8V0YDD6 R4GFJ0
Cellular Component,cytoplasmic vesicle membrane,5,GO:0030659,4,6,13,43,2.21,0.05763202674866414,1.24,A0A8V0Z5X2 A0A8V0ZV62 R4GFJ0 A0A8V0ZA93
Cellular Component,vesicle membrane,4,GO:0012506,4,6,13,43,2.21,0.05763202674866414,1.24,A0A8V0Z5X2 A0A8V0ZV62 R4GFJ0 A0A8V0ZA93
Cellular Component,dendritic tree,5,GO:0097447,3,4,13,43,2.48,0.07531804553925964,1.12,R4GFJ0 A0A8V0Y0J2 A0A8V0ZV62
Cellular Component,vacuolar lumen,5,GO:0005775,3,4,13,43,2.48,0.07531804553925964,1.12,A0A8V0Z5X2 A0A8V0Z3S9 A0A8V0YUU0
Cellular Component,dendrite,5,GO:0030425,3,4,13,43,2.48,0.07531804553925964,1.12,R4GFJ0 A0A8V0Y0J2 A0A8V0ZV62
Cellular Component,secretory granule membrane,5,GO:0030667,2,2,13,43,3.31,0.08637873754152835,1.06,A0A8V0Z5X2 R4GFJ0
Cellular Component,secretory granule,8,GO:0030141,5,10,13,43,1.65,0.13979079729656146,0.85,A0A8V0YUU0 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YDD6 R4GFJ0
Cellular Component,somatodendritic compartment,2,GO:0036477,3,5,13,43,1.98,0.15286443562109991,0.82,R4GFJ0 A0A8V0Y0J2 A0A8V0ZV62
Cellular Component,neuron projection,4,GO:0043005,3,5,13,43,1.98,0.15286443562109991,0.82,R4GFJ0 A0A8V0Y0J2 A0A8V0ZV62
Cellular Component,cell projection,2,GO:0042995,3,5,13,43,1.98,0.15286443562109991,0.82,R4GFJ0 A0A8V0Y0J2 A0A8V0ZV62
Cellular Component,plasma membrane bounded cell projection,3,GO:0120025,3,5,13,43,1.98,0.15286443562109991,0.82,R4GFJ0 A0A8V0Y0J2 A0A8V0ZV62
Cellular Component,plasma membrane,3,GO:0005886,7,15,13,43,1.54,0.16180057603152387,0.79,A0A8V0XEK3 A0A8V0ZA93 A0A8V0Z5X2 A0A8V0ZV62 A0A8V0Z3S9 A0A8V0YDD6 R4GFJ0
Cellular Component,cell periphery,2,GO:0071944,7,15,13,43,1.54,0.16180057603152387,0.79,A0A8V0XEK3 A0A8V0ZA93 A0A8V0Z5X2 A0A8V0ZV62 A0A8V0Z3S9 A0A8V0YDD6 R4GFJ0
Cellular Component,Golgi apparatus,5,GO:0005794,4,7,13,43,1.89,0.17228529541572474,0.76,R4GFJ0 A0A8V0Z3S9 A0A8V0Y0J2 A0A8V0ZV62
Cellular Component,neuronal cell body,3,GO:0043025,2,3,13,43,2.21,0.2127866461388874,0.67,R4GFJ0 A0A8V0ZV62
Cellular Component,coated vesicle,7,GO:0030135,2,3,13,43,2.21,0.2127866461388874,0.67,A0A8V0ZA93 A0A8V0ZV62
Cellular Component,clathrin-coated vesicle,8,GO:0030136,2,3,13,43,2.21,0.2127866461388874,0.67,A0A8V0ZA93 A0A8V0ZV62
Cellular Component,endocytic vesicle,7,GO:0030139,2,3,13,43,2.21,0.2127866461388874,0.67,A0A8V0ZA93 P01012
Cellular Component,cell body,2,GO:0044297,2,3,13,43,2.21,0.2127866461388874,0.67,R4GFJ0 A0A8V0ZV62
Cellular Component,clathrin-coated pit,4,GO:0005905,2,3,13,43,2.21,0.2127866461388874,0.67,A0A8V0ZA93 A0A8V0ZV62
Cellular Component,early endosome,8,GO:0005769,2,3,13,43,2.21,0.2127866461388874,0.67,P01012 A0A8V0ZV62
Cellular Component,secretory vesicle,7,GO:0099503,5,11,13,43,1.5,0.26191098051966977,0.58,A0A8V0YUU0 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V0YDD6 R4GFJ0
Cellular Component,basement membrane,5,GO:0005604,3,6,13,43,1.65,0.3454936262948926,0.46,A0A8V0ZKI3 A0A8V0Z3S9 A0A8V0YDD6
Cellular Component,collagen-containing extracellular matrix,4,GO:0062023,3,6,13,43,1.65,0.3454936262948926,0.46,A0A8V0ZKI3 A0A8V0Z3S9 A0A8V0YDD6
Cellular Component,endosome,7,GO:0005768,3,6,13,43,1.65,0.3454936262948926,0.46,A0A8V0Z5X2 P01012 A0A8V0ZV62
Cellular Component,extracellular region,2,GO:0005576,12,35,13,43,1.13,0.39954445295222013,0.4,A0A8V0XEK3 A0A8V0ZA93 P01012 A0A8V0YUU0 R4GFJ0 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V1AC48 A0A8V0Z3S9 A0A8V0YDD6 A0A8V0ZKI3 A0A8V0ZTX8
Cellular Component,protein-containing complex,1,GO:0032991,4,9,13,43,1.47,0.41727392633443794,0.38,A0A8V0ZKI3 A0A8V0Z3S9 A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,organelle membrane,3,GO:0031090,4,9,13,43,1.47,0.41727392633443794,0.38,A0A8V0Z5X2 A0A8V0ZV62 R4GFJ0 A0A8V0ZA93
Cellular Component,extracellular space,2,GO:0005615,9,25,13,43,1.19,0.5026731303788354,0.3,A0A8V0XEK3 P01012 A0A8V0YUU0 R4GFJ0 A0A8V0Z5X2 A0A8V0Y0J2 A0A8V1AC48 A0A8V0YDD6 A0A8V0ZKI3
Cellular Component,endoplasmic reticulum,5,GO:0005783,4,17,13,43,0.78,0.5131267074132457,0.29,A0A8V0ZA93 P01012 A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,synapse,3,GO:0045202,2,4,13,43,1.65,0.5723199092456054,0.24,A0A8V0ZKI3 R4GFJ0
Cellular Component,platelet alpha granule,9,GO:0031091,2,4,13,43,1.65,0.5723199092456054,0.24,A0A8V0Y0J2 A0A8V0YDD6
Cellular Component,axon,5,GO:0030424,2,4,13,43,1.65,0.5723199092456054,0.24,R4GFJ0 A0A8V0Y0J2
Cellular Component,plasma membrane region,3,GO:0098590,2,4,13,43,1.65,0.5723199092456054,0.24,R4GFJ0 A0A8V0YDD6
Cellular Component,platelet alpha granule lumen,7,GO:0031093,2,4,13,43,1.65,0.5723199092456054,0.24,A0A8V0Y0J2 A0A8V0YDD6
